id,name,description,address,suburb,locationType,type,lat,long,specialOffer,image,currentCapacity,ppe,artist,material,installDate
67,A1 Exhausts,www.a1exhausts.com.au,Hervey Bay Brake & Exhaust - 101 Beach Rd,INGHAM,business,"Brakes, Exhausts, Steering and Suspension",-25.2865,152.8309,10% off parts and labour. Enquire in store.,,,,,,
68,A1 Exhausts,www.a1exhausts.com.au,Ingham Exhausts & 4x4 Welding - 3 Haig St,INNISFAIL,business,"Brakes, Exhausts, Steering and Suspension",-18.6489,146.1579,10% off parts and labour. Enquire in store.,,,,,,
69,A1 Exhausts,www.a1exhausts.com.au,Innisfail Exhaust Cnt - 196 Edith Rd,IPSWICH,business,"Brakes, Exhausts, Steering and Suspension",-17.5244,146.0207,10% off parts and labour. Enquire in store.,,,,,,
70,A1 Exhausts,www.a1exhausts.com.au,Ipswich Muffler Shop - 224 Brisbane St,LONGREACH,business,"Brakes, Exhausts, Steering and Suspension",-27.6161,152.7514,10% off parts and labour. Enquire in store.,,,,,,
71,A1 Exhausts,www.a1exhausts.com.au,33 Swan St,MAROOCHYDORE,business,"Brakes, Exhausts, Steering and Suspension",-23.4443,144.2499,10% off parts and labour. Enquire in store.,,,,,,
72,A1 Exhausts,www.a1exhausts.com.au,Suncoast Car Care - 7 Kelly Ct,MURGON,business,"Brakes, Exhausts, Steering and Suspension",-26.6701,153.0875,10% off parts and labour. Enquire in store.,,,,,,
73,A1 Exhausts,www.a1exhausts.com.au,Murgon Motors - 10 Retschlag St,NAMBOUR,business,"Brakes, Exhausts, Steering and Suspension",-26.235,151.9266,10% off parts and labour. Enquire in store.,,,,,,
74,A1 Exhausts,www.a1exhausts.com.au,Burnside Motors - 1 Windsor Rd,NANANGO,business,"Brakes, Exhausts, Steering and Suspension",-26.631,152.9529,10% off parts and labour. Enquire in store.,,,,,,
75,A1 Exhausts,www.a1exhausts.com.au,Nanango Motors - 102 Drayton Rd,PETRIE,business,"Brakes, Exhausts, Steering and Suspension",-26.6705,151.9993,10% off parts and labour. Enquire in store.,,,,,,
76,A1 Exhausts,www.a1exhausts.com.au,A1 Exhausts & Mechanical - 18 Whites Rd,ROMA,business,"Brakes, Exhausts, Steering and Suspension",-27.27,152.9798,10% off parts and labour. Enquire in store.,,,,,,
77,A1 Exhausts,www.a1exhausts.com.au,Western Exhausts & Suspension - 110 Raglan St,SARINA,business,"Brakes, Exhausts, Steering and Suspension",-26.5811,148.7821,10% off parts and labour. Enquire in store.,,,,,,
78,A1 Exhausts,www.a1exhausts.com.au,Sarina Mufflers & Brakes - 46 Broad St,SEVENTEEN MILE ROCKS,business,"Brakes, Exhausts, Steering and Suspension",-21.4227,149.2179,10% off parts and labour. Enquire in store.,,,,,,
79,A1 Exhausts,www.a1exhausts.com.au,A1 Muffler Pro - 615 Seventeen Mile Rocks Rd,ST GEORGE,business,"Brakes, Exhausts, Steering and Suspension",-27.5408,152.9551,10% off parts and labour. Enquire in store.,,,,,,
80,A1 Exhausts,www.a1exhausts.com.au,St George Radiator & Exhausts - 16 Grey St,STANTHORPE,business,"Brakes, Exhausts, Steering and Suspension",-28.0367,148.5794,10% off parts and labour. Enquire in store.,,,,,,
81,A1 Exhausts,www.a1exhausts.com.au,Sam's Workshop Mechanical - 38 Lock St,TOOWOOMBA,business,"Brakes, Exhausts, Steering and Suspension",-28.6547,151.9378,10% off parts and labour. Enquire in store.,,,,,,
82,A1 Exhausts,www.a1exhausts.com.au,26 Water St,TOWNSVILLE,business,"Brakes, Exhausts, Steering and Suspension",-27.5662,151.9496,10% off parts and labour. Enquire in store.,,,,,,
83,A1 Exhausts,www.a1exhausts.com.au,"Fast Fit Exhaust - 172 Hugh St, Currajong",TOOWOOMBA,business,"Brakes, Exhausts, Steering and Suspension",-19.2728,146.7884,10% off parts and labour. Enquire in store.,,,,,,
84,A1 Exhausts & Mechanical Repairs,www.a1toowoomba.com.au,24 Water St,GYMPIE,business,Parts and Accessories,-27.5661,151.9496,20% off exhaust parts. 10% off mechanical parts.,,,,,,
85,A1 Exhausts Gympie,www.a1exhausts.com.au,15 Brisbane Rd,BUNGALOW,business,Parts and Accessories,-26.2016,152.6775,10% off exhaust parts only.,,,,,,
86,A1 Mechanical Servicing & Repairs,www.a1mechanical.com.au,57 Morehead St,,business,Repairs and Servicing,-16.9384,145.7606,10% discount on labour.,,,,,,
87,A1 Steve's Rubbish Removals,http://www.stevesrubbishremovals.com.au/,Mobile Business,,business,Gardening and Mowing,-27.3583,153.2902,"Seniors in Brisbane and Greater Brisbane receive a 10% discount off our quoted price - open 7 days. Household, green, office and builder's waste.",,,,,,
88,A1 Steve's Rubbish Removals,http://www.stevesrubbishremovals.com.au/,Mobile Business,ALBION,business,Rubbish Removal,-27.3583,153.2902,"Seniors in Brisbane and Greater Brisbane receive a 10% discount off our quoted price - open 7 days. Household, green, office and builder's waste.",,,,,,
89,AAA Albion Manor Motel,www.albionmanor.com.au,402 Sandgate Rd,HELENSVALE,business,Accommodation,-27.4283,153.0438,10% off accommodation. Not available with other offers.,,,,,,
90,AAA Cat & Dog Doors,www.petdoorcompany.com.au,13 Oyster Cove Prom,CAIRNS,business,Pet Products and Services,-27.8855,153.3604,10% off cat and dog doors supplied and installed.,,,,,,
91,AAA FNQ Battery Wholesalers,www.batterieswholesale.com.au,52 McLeod St,TOWNSVILLE,business,Batteries,-16.9232,145.7721,15% discount on recommended retail price. Excludes sale items and special offers.,,,,,,
92,AAA FNQ Battery Wholesalers,www.batterieswholesale.com.au,"U 3 209 Ingham Rd, Garbutt",,business,Batteries,-19.2633,146.725,15% discount on recommended retail price. Excludes sale items and special offers.,,,,,,
93,AAA Locksmiths,http://aaalocks.net.au,Mobile Business,CABOOLTURE,business,Security Screens and Doors,-16.8412,145.7138,"We offer a seniors, carers and pensioners discount of 10% discount to the service call.",,,,,,
94,Aamys Towing Service,,260 King St,,business,Roadside Assistance and Towing,-27.0779,152.9305,Trade towing prices.,,,,,,
95,Aaron J Little Air Conditioning & Refrigeration,http://www.ajlairandfridge.com.au,Mobile Business,CURRUMBIN WATERS,business,Air Conditioning and Heating,-17.0414,145.6601,20% discount on total goods and services.,,,,,,
96,AAumann Valerie,,,MUDGEERABA,business,Celebrants,-28.1541,153.4627,"$100 off weddings, revows and others. Cardholders only.",,,,,,
97,ABBA Pest Control (QBCC Act Lic 56887),www.abbapestcontrol.com.au,Mobile Service. Call 0412 737 172 or,NERANG,business,Pest and Termite Control and Inspections,-28.0937,153.349,10% off. Call offices direct or mobile.,,,,,,
98,ABBA Pest Control (QBCC Act Lic 56887),www.abbapestcontrol.com.au,Mobile Service. Call 0412 737 172 or,PALM BEACH,business,Pest and Termite Control and Inspections,-27.9811,153.3123,10% off. Call offices direct or mobile.,,,,,,
99,ABBA Pest Control (QBCC Act Lic 56887),www.abbapestcontrol.com.au,Mobile Service. Call 0412 737 172 or,SOUTHPORT,business,Pest and Termite Control and Inspections,-33.5964,151.325,10% off. Call offices direct or mobile.,,,,,,
100,ABBA Pest Control (QBCC Act Lic 56887),www.abbapestcontrol.com.au,Mobile Service. Call 0412 737 172 or,SOUTHPORT,business,Pest and Termite Control and Inspections,-12.7303,130.9528,10% off. Call offices direct or mobile.,,,,,,
101,Abbco Brake Service,www.abbcobrakes.com.au,78 Davenport St,CABOOLTURE,business,"Brakes, Exhausts, Steering and Suspension",-27.9655,153.4108,10% off goods and services. Excludes roadworthy certs.,,,,,,
102,Abbey Museum of Art & Archaeology,www.abbeymuseum.asn.au,1-63 The Abbey Pl,CABOOLTURE,business,Museums and Cultural Centres,-27.065,153.0234,"$8.50 admission for seniors, and carers FREE.",,,,,,
103,Abbey Museum of Art & Archaeology,www.abbeymuseum.asn.au,1-63 The Abbey Pl,"BRISBANE, REDCLIFFE & PINE RIVERS",business,Tourist Attractions,-27.065,153.0234,"$8.50 admission for seniors, and carers FREE.",,,,,,
104,Abbey Cladding (QBCC Act Lic 19819),www.abbeythermalboards.com.au,Mobile Service,CENTRAL QLD & WIDE BAY AREA,business,Wall Cladding,-27.466,153.0239,$400 discount on materials and labour (full house) excludes special discounts.,,,,,,
105,Abbey Cladding (QBCC Act Lic 19819),www.abbeythermalboards.com.au,Mobile Service,DARLING DOWNS,business,Wall Cladding,-23.6767,149.9848,$400 discount on materials and labour (full house) excludes special discounts.,,,,,,
106,Abbey Cladding (QBCC Act Lic 19819),www.abbeythermalboards.com.au,Mobile Service,FAR NORTH QLD,business,Wall Cladding,-32.1949,115.9901,$400 discount on materials and labour (full house) excludes special discounts.,,,,,,
107,Abbey Cladding (QBCC Act Lic 19819),www.abbeythermalboards.com.au,Mobile Service,GOLD COAST,business,Wall Cladding,-17.0414,145.6601,$400 discount on materials and labour (full house) excludes special discounts.,,,,,,
108,Abbey Cladding (QBCC Act Lic 19819),www.abbeythermalboards.com.au,Mobile Service,IPSWICH & LOCKYER VALLEY,business,Wall Cladding,-27.9983,153.3344,$400 discount on materials and labour (full house) excludes special discounts.,,,,,,
109,Abbey Cladding (QBCC Act Lic 19819),www.abbeythermalboards.com.au,Mobile Service,NORTH QLD,business,Wall Cladding,-27.6193,152.7559,$400 discount on materials and labour (full house) excludes special discounts.,,,,,,
110,Abbey Cladding (QBCC Act Lic 19819),www.abbeythermalboards.com.au,Mobile Service,SUNSHINE COAST,business,Wall Cladding,-27.4667,152.65,$400 discount on materials and labour (full house) excludes special discounts.,,,,,,
111,Abbey Cladding (QBCC Act Lic 19819),www.abbeythermalboards.com.au,Mobile Service,AITKENVALE,business,Wall Cladding,-26.5,153,$400 discount on materials and labour (full house) excludes special discounts.,,,,,,
112,ABC Christian Books,www.adventistbooks.com.au,55 Leopold St,BRISBANE - ALL AREAS,business,"Books, Magazines and Newspapers",-19.3065,146.7672,5% off storewide. Includes already discounted lines.,,,,,,
113,ABC Pest Control - Est 1960 (QBCC Act Lic 1167336),,Mobile Service,MUDGEERABA,business,Pest and Termite Control and Inspections,-27.6277,153.2677,15% off all services including termites and inspections.,,,,,,
114,Abcom IT Services,www.abcomits.com,U 7 Mudgeeraba Industrial Park - 30 Mudgeeraba Rd,MUDGEERABA,business,Computers,-28.052,153.3555,10% discount on labour only.,,,,,,
115,Abcom IT Services,www.abcomits.com,U 7 Mudgeeraba Industrial Park - 30 Mudgeeraba Rd,REDCLIFFE,business,"Education, Training and Personal Development",-28.052,153.3555,10% discount on hourly computer training rate.,,,,,,
116,M P Rozanski,,31 Ashmole Rd,,business,Chiropractors,-27.2281,153.0977,"10% off fees, dispensed products and remedies.",,,,,,
117,Abode & Beyond Painting and Decorating,,Mobile Business,PIMLICO,business,Painters,-27.5298,153.2716,5% Discount given to all Queensland Seniors and Carer cardholders. Applies to labour only.,,,,,,
118,About Town Windscreen Repairs & Replacements,,U 3 110 Bayswater Rd,CLEVELAND,business,Repairs and Servicing,-19.2766,146.7906,10% off repairs plus free wiper blades. Excludes specials.,,,,,,
119,Above IT,https://www.aboveit.com.au/,U 32 135 Shore St W,BRENDALE,business,Computers,-27.5249,153.2657,10% discount on labour costs only.,,,,,,
120,ABS Pine Rivers,http://www.absauto.com.au,Shop 1 256 Leitchs Rd,MYSTERTON,business,Repairs and Servicing,-27.3167,152.9807,20% discount on all car servicing and repairs.,,,,,,
121,ABS Service Solutions Pty Ltd,,33 Ross River Rd,CALOUNDRA,business,Electrical Goods,-19.2921,146.7943,10% discount on all services.,,,,,,
122,Absolute Blinds,,15 Elinya St,,business,Blinds and Awnings,-26.7748,153.1307,25% discount on retail prices.,,,,,,
123,Absolute Home Services,https://absolutehomeservices.com.au/,Mobile Business,CABOOLTURE,business,Gardening and Mowing,-27.5324,153.2289,"20% Discount on all our services, gardening, general maintenance and cleaning. One call & we do it all",,,,,,
124,Absolute Mechanical,,71 Beerburrum Rd,NAMBOUR,business,Repairs and Servicing,-27.077,152.9507,10% off mechanical repairs. Excludes other specials.,,,,,,
125,Absolute Vision Optometrists,www.absolutevision.com.au,cnr Ann/Howard Sts,BRISBANE,business,Optometrists and Optical Dispensers,-26.6271,152.9608,10% discount on frame and lenses.,,,,,,
126,Acacia Inner City Inn,www.acaciainn.com,413 Upper Edward St,BUNDABERG,business,Accommodation,-27.4638,153.024,10% discount on all services.,,,,,,
127,Golden Chain Motels,www.goldenchain.com.au,Acacia Motor Inn - 248 Bourbong St,BUNDABERG,business,Accommodation,-24.8687,152.3407,10% off tariffs listed in our Australian travel guide.,,,,,,
128,Acacia Motor Inn,www.acaciamotorinn.com.au,248 Bourbong St,ACACIA RIDGE,business,Accommodation,-24.8687,152.3407,10% off room rate.,,,,,,
129,Acacia Mower Centre,www.acaciamowercentre.com.au,U 4 15 Overlord Pl,TOOWOOMBA,business,Mowers,-27.5953,153.0367,10% discount on labour with repairs and used mowers. Free local pick up.,,,,,,
130,Access Dental Services Pty Ltd,,8 Cecil St,ASCOT,business,Dentists,-27.5592,151.9455,5% discount on gap payment.,,,,,,
131,Access Locksmiths,https://www.locksmith.id.au,122 Crosby Rd,LABRADOR,business,Doors and Windows,-27.4328,153.0501,10% discount for all products and services for Senior cardholders.,,,,,,
132,Access Pet Doors,www.petway.com.au,Mobile Service,BEENLEIGH TO TWEED HEADS - ALL AREAS,business,Pet Products and Services,-27.9462,153.3998,10% off supply and fitting of pet doors.,,,,,,
133,Ace Alarms and Security,www.acealarms.com.au,Mobile Service,BRISBANE - ALL AREAS,business,Security Alarms and Monitoring,-28.0109,153.3989,10% discount on any Security Alarm or CCTV.,,,,,,
134,Ace Alarms and Security,www.acealarms.com.au,Mobile Service,CABOOLTURE TO SUNSHINE COAST - ALL AREAS,business,Security Alarms and Monitoring,-27.466,153.0239,10% discount on any Security Alarm or CCTV.,,,,,,
135,Ace Alarms and Security,www.acealarms.com.au,Mobile Service,IPSWICH & LOGAN - ALL AREAS,business,Security Alarms and Monitoring,-26.9845,153.1334,10% discount on any Security Alarm or CCTV.,,,,,,
136,Ace Alarms and Security,www.acealarms.com.au,Mobile Service,IPSWICH,business,Security Alarms and Monitoring,-27.6193,152.7559,10% discount on any Security Alarm or CCTV.,,,,,,
137,Ace Computer World,www.acecomputerworld.com.au,75 Brisbane St,SOUTH EAST QUEENSLAND,business,Computers,-27.6145,152.7617,"3% off new computers, notebooks and spare parts.",,,,,,
138,Ace on Site Curtain Cleaning,,Mobile Service,SOUTH EAST QUEENSLAND,business,Cleaning Products and Services,-28.3068,151.5006,"10% discount on curtains, blinds and lounges cleaned in your home.",,,,,,
139,Ace on Site Curtain Cleaning,,Mobile Service,BUDDINA,business,Curtains and Blinds,-28.3068,151.5006,"10% discount on curtains, blinds and lounges cleaned in your home.",,,,,,
140,Acoustic Hearing Clinics,www.acoustichearingclinics.com.au,118 Pt Cartwright Dr,CALOUNDRA,business,Hearing Products and Services,-26.6997,153.1311,Up to $550 off hearing aids. Free hearing tests.,,,,,,
141,Acoustic Hearing Clinics,www.acoustichearingclinics.com.au,39 Minchinton St,COOROY,business,Hearing Products and Services,-26.8034,153.132,Up to $550 off hearing aids. Free hearing tests.,,,,,,
142,Acoustic Hearing Clinics,www.acoustichearingclinics.com.au,46 Maple St,GYMPIE,business,Hearing Products and Services,-26.4199,152.9086,Up to $550 off hearing aids. Free hearing tests.,,,,,,
143,Acoustic Hearing Clinics,www.acoustichearingclinics.com.au,76 Channon St,MAROOCHYDORE,business,Hearing Products and Services,-26.1845,152.6642,Up to $550 off hearing aids. Free hearing tests.,,,,,,
